"Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","Well","Plate","Complexity"
0,1,0,0,0,0,1,1,"G3",2,3
0,0,1,0,1,0,1,0,"G4",2,3
0,0,0,1,1,0,1,0,"G5",2,3
0,0,0,0,1,1,0,1,"G6",2,3
1,1,1,0,0,0,1,0,"G7",2,4
1,1,0,0,1,1,0,0,"G8",2,4
1,0,1,1,1,0,0,0,"G9",2,4
1,1,1,0,1,0,0,1,"B10",3,5
1,1,0,1,1,0,0,1,"B11",3,5
1,0,0,1,0,1,1,0,"B2",3,4
1,0,0,0,0,1,1,1,"B3",3,4
0,1,1,0,1,0,1,0,"B4",3,4
0,1,0,1,1,0,1,0,"B5",3,4
0,1,0,0,1,1,0,1,"B6",3,4
0,0,1,1,0,1,1,0,"B7",3,4
0,0,1,0,0,1,1,1,"B8",3,4
1,1,1,1,1,0,0,0,"B9",3,5
1,1,1,0,0,1,1,0,"C10",3,5
1,1,0,1,0,1,1,0,"C11",3,5
1,0,0,1,0,1,0,1,"C2",3,4
0,1,1,1,1,0,0,0,"C3",3,4
0,1,1,0,1,0,0,1,"C4",3,4
0,1,0,1,1,0,0,1,"C5",3,4
0,1,0,0,1,0,1,1,"C6",3,4
0,0,1,1,0,1,0,1,"C7",3,4
0,0,0,1,1,1,1,0,"C8",3,4
1,1,1,1,0,1,0,0,"C9",3,5
1,1,1,0,0,1,0,1,"D10",3,5
1,1,0,1,0,1,0,1,"D11",3,5
1,0,0,1,0,0,1,1,"D2",3,4
0,1,1,1,0,1,0,0,"D3",3,4
0,1,1,0,0,1,1,0,"D4",3,4
0,1,0,1,0,1,1,0,"D5",3,4
0,1,0,0,0,1,1,1,"D6",3,4
0,0,1,1,0,0,1,1,"D7",3,4
0,0,0,1,1,1,0,1,"D8",3,4
1,1,1,1,0,0,1,0,"D9",3,5
1,1,1,0,0,0,1,1,"E10",3,5
1,1,0,1,0,0,1,1,"E11",3,5
1,0,0,0,1,1,1,0,"E2",3,4
0,1,1,1,0,0,1,0,"E3",3,4
0,1,1,0,0,1,0,1,"E4",3,4
0,1,0,1,0,1,0,1,"E5",3,4
0,0,1,1,1,1,0,0,"E6",3,4
0,0,1,0,1,1,1,0,"E7",3,4
0,0,0,1,1,0,1,1,"E8",3,4
1,1,1,1,0,0,0,1,"E9",3,5
1,1,0,1,1,1,0,0,"F10",3,5
1,1,0,0,1,1,1,0,"F11",3,5
1,0,0,0,1,1,0,1,"F2",3,4
0,1,1,1,0,0,0,1,"F3",3,4
0,1,1,0,0,0,1,1,"F4",3,4
0,1,0,1,0,0,1,1,"F5",3,4
0,0,1,1,1,0,1,0,"F6",3,4
0,0,1,0,1,1,0,1,"F7",3,4
