"Strain","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","r_min","r_max","r_mean","c_min","c_max","c_mean","i_min","mean_int","i_max","mean_response","Complexity","id","significant","null_model"
"100",0,0,0,0,0,0,0,0,43.7782294095084,49.6210236351498,46.7768492049913,43.7782294095084,49.6210236351498,46.7768492049913,1,1,1,1,0,"control",FALSE,4
"100",1,0,0,0,0,0,0,0,47.0698603731767,49.3730981606707,48.3573027401181,43.7782294095084,49.6210236351498,46.7768492049913,0.967094257299583,1.03490654869335,1.11099831515828,1.03378708831372,1,"1",FALSE,4
"100",0,1,0,0,0,0,0,0,46.9603839786357,49.3589946389494,47.8622548749979,43.7782294095084,49.6210236351498,46.7768492049913,0.962035656304727,1.02425682087487,1.10829967163517,1.02320390724159,1,"2",FALSE,4
"100",0,0,1,0,0,0,0,0,46.5785960919499,48.6892567320833,47.5033159941337,43.7782294095084,49.6210236351498,46.7768492049913,0.953257634867639,1.01668430490934,1.09470988460409,1.01553047718026,1,"3",FALSE,4
"100",0,0,0,1,0,0,0,0,46.6217111251904,48.7347902762484,47.8188152491668,43.7782294095084,49.6210236351498,46.7768492049913,0.958485029421874,1.02409802581428,1.09850259450926,1.02227525072519,1,"4",FALSE,4
"100",0,0,0,0,1,0,0,0,44.1488032420595,48.105079039569,46.2787879408023,43.7782294095084,49.6210236351498,46.7768492049913,0.907975148286709,0.990249010355514,1.08280125861492,0.989352398191543,1,"5",FALSE,4
"100",0,0,0,0,0,1,0,0,46.8463901974217,48.4964205245265,47.9300821181095,43.7782294095084,49.6210236351498,46.7768492049913,0.962502853757337,1.02564564288268,1.09462185421814,1.02465392459557,1,"6",FALSE,4
"100",0,0,0,0,0,0,1,0,42.7451086375432,46.6200249809263,44.6842800717962,43.7782294095084,49.6210236351498,46.7768492049913,0.879106419734839,0.956523400131093,1.04733694125037,0.955264854970783,1,"7",FALSE,4
"100",0,0,0,0,0,0,0,1,41.8979998372833,47.5235808950704,45.4675764972302,43.7782294095084,49.6210236351498,46.7768492049913,0.859830768648783,0.972502684267893,1.07241772723011,0.972010241604273,1,"8",FALSE,4
"100",1,1,0,0,0,0,0,0,46.3919155378958,48.6057538503035,47.0641133656618,43.7782294095084,49.6210236351498,46.7768492049913,0.837766829458945,0.953445833938556,1.08109716506117,1.00614116097071,2,"12",FALSE,4
"100",1,0,1,0,0,0,0,0,46.997897375234,48.868679821783,47.8136281441487,43.7782294095084,49.6210236351498,46.7768492049913,0.858405423292545,0.976095830968719,1.10217275556882,1.02216436029314,2,"13",FALSE,4
"100",1,0,0,1,0,0,0,0,47.486702480248,49.2443125941126,48.3026010661921,43.7782294095084,49.6210236351498,46.7768492049913,0.859548859843068,0.978160842257479,1.10012644033491,1.03261767064546,2,"14",FALSE,4
"100",1,0,0,0,1,0,0,0,44.3543860148559,48.5508872889105,47.0005694251739,43.7782294095084,49.6210236351498,46.7768492049913,0.839058404065175,0.985686485536474,1.14295530204939,1.0047827124739,2,"15",FALSE,4
"100",1,0,0,0,0,1,0,0,47.2266107616077,50.1674217797847,48.3176049096195,43.7782294095084,49.6210236351498,46.7768492049913,0.858728665930768,0.976334204540038,1.10539206636664,1.03293842425932,2,"16",FALSE,4
"100",1,0,0,0,0,0,1,0,42.5170589877586,46.4146149346933,44.3135272442084,43.7782294095084,49.6210236351498,46.7768492049913,0.830020061462794,0.961136319531732,1.10708163666261,0.947338865215401,2,"17",FALSE,4
"100",1,0,0,0,0,0,0,1,43.5623340422467,47.2959404071903,45.4032201306024,43.7782294095084,49.6210236351498,46.7768492049913,0.820410241513013,0.969378348295551,1.15283559548181,0.970634424982982,2,"18",FALSE,4
"100",0,1,1,0,0,0,0,0,46.4824918675505,48.335977957732,46.9722315608842,43.7782294095084,49.6210236351498,46.7768492049913,0.852782072144215,0.969742432886974,1.09318902942922,1.00417690287425,2,"23",FALSE,4
"100",0,1,0,1,0,0,0,0,46.7227943290644,48.9028225084868,47.6118003291117,43.7782294095084,49.6210236351498,46.7768492049913,0.85483175606269,0.973403130404028,1.1010709258403,1.0178496657708,2,"24",FALSE,4
