"PlateTrue","Rep","Strain","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","Complexity","PlateWell","TruePlateWell","AUC"
1,1,"74",0,0,1,0,0,0,0,1,2,"1C6","1C6",27.2099970122004
6,2,"74",0,0,1,0,0,0,0,1,2,"1C6","6C6",26.1646047765717
11,3,"74",0,0,1,0,0,0,0,1,2,"1C6","11C6",24.9854716811599
16,4,"74",0,0,1,0,0,0,0,1,2,"1C6","16C6",27.360559501554
1,1,"74",0,0,0,0,1,0,1,0,2,"1C7","1C7",21.2909692956463
6,2,"74",0,0,0,0,1,0,1,0,2,"1C7","6C7",18.1151564514445
11,3,"74",0,0,0,0,1,0,1,0,2,"1C7","11C7",19.2527995456379
16,4,"74",0,0,0,0,1,0,1,0,2,"1C7","16C7",20.3546134392212
1,1,"74",1,1,0,1,0,0,0,0,3,"1C8","1C8",31.6253807324331
6,2,"74",1,1,0,1,0,0,0,0,3,"1C8","6C8",34.441080142771
11,3,"74",1,1,0,1,0,0,0,0,3,"1C8","11C8",32.9016393222654
16,4,"74",1,1,0,1,0,0,0,0,3,"1C8","16C8",34.2358273129851
1,1,"74",1,0,1,0,1,0,0,0,3,"1C9","1C9",24.5276295443128
6,2,"74",1,0,1,0,1,0,0,0,3,"1C9","6C9",20.863542162993
11,3,"74",1,0,1,0,1,0,0,0,3,"1C9","11C9",23.8046543335166
16,4,"74",1,0,1,0,1,0,0,0,3,"1C9","16C9",24.4104020865327
1,1,"74",1,0,0,1,0,0,0,1,3,"1D10","1D10",28.1942097009307
6,2,"74",1,0,0,1,0,0,0,1,3,"1D10","6D10",27.5289057856903
11,3,"74",1,0,0,1,0,0,0,1,3,"1D10","11D10",23.2030588491274
16,4,"74",1,0,0,1,0,0,0,1,3,"1D10","16D10",25.3814848397096
1,1,"74",1,0,0,0,0,0,1,1,3,"1D11","1D11",24.9784310063968
6,2,"74",1,0,0,0,0,0,1,1,3,"1D11","6D11",22.2424327196221
11,3,"74",1,0,0,0,0,0,1,1,3,"1D11","11D11",20.6248654724106
16,4,"74",1,0,0,0,0,0,1,1,3,"1D11","16D11",21.03511767191
1,1,"74",0,0,1,0,0,0,0,0,1,"1D2","1D2",32.1477092084395
6,2,"74",0,0,1,0,0,0,0,0,1,"1D2","6D2",34.2284903064131
11,3,"74",0,0,1,0,0,0,0,0,1,"1D2","11D2",28.462982783661
16,4,"74",0,0,1,0,0,0,0,0,1,"1D2","16D2",29.229986089908
1,1,"74",1,1,0,0,0,0,0,0,2,"1D3","1D3",34.9408347523183
6,2,"74",1,1,0,0,0,0,0,0,2,"1D3","6D3",34.271994552737
11,3,"74",1,1,0,0,0,0,0,0,2,"1D3","11D3",34.3571794993981
16,4,"74",1,1,0,0,0,0,0,0,2,"1D3","16D3",35.1245867004613
1,1,"74",1,0,0,0,0,0,0,1,2,"1D4","1D4",30.1801034466902
6,2,"74",1,0,0,0,0,0,0,1,2,"1D4","6D4",24.0452669117314
11,3,"74",1,0,0,0,0,0,0,1,2,"1D4","11D4",24.8110634006558
16,4,"74",1,0,0,0,0,0,0,1,2,"1D4","16D4",26.7239372064598
1,1,"74",0,1,0,0,0,0,0,1,2,"1D5","1D5",26.9783514190834
6,2,"74",0,1,0,0,0,0,0,1,2,"1D5","6D5",23.7179404178013
11,3,"74",0,1,0,0,0,0,0,1,2,"1D5","11D5",24.8454183525697
16,4,"74",0,1,0,0,0,0,0,1,2,"1D5","16D5",25.7778996283478
1,1,"74",0,0,0,1,1,0,0,0,2,"1D6","1D6",23.4984253741325
6,2,"74",0,0,0,1,1,0,0,0,2,"1D6","6D6",21.5984067596498
11,3,"74",0,0,0,1,1,0,0,0,2,"1D6","11D6",24.3791297925729
16,4,"74",0,0,0,1,1,0,0,0,2,"1D6","16D6",27.7846350247018
1,1,"74",0,0,0,0,1,0,0,1,2,"1D7","1D7",26.7669334964407
6,2,"74",0,0,0,0,1,0,0,1,2,"1D7","6D7",26.3992485920244
11,3,"74",0,0,0,0,1,0,0,1,2,"1D7","11D7",24.4445440948755
16,4,"74",0,0,0,0,1,0,0,1,2,"1D7","16D7",25.4293274202022
1,1,"74",1,1,0,0,1,0,0,0,3,"1D8","1D8",24.3873658561283
6,2,"74",1,1,0,0,1,0,0,0,3,"1D8","6D8",21.7359365003797
11,3,"74",1,1,0,0,1,0,0,0,3,"1D8","11D8",24.2364139103717
16,4,"74",1,1,0,0,1,0,0,0,3,"1D8","16D8",24.1191250002422
1,1,"74",1,0,1,0,0,1,0,0,3,"1D9","1D9",31.946307202677
6,2,"74",1,0,1,0,0,1,0,0,3,"1D9","6D9",32.2656654236552
11,3,"74",1,0,1,0,0,1,0,0,3,"1D9","11D9",27.1760357203843
16,4,"74",1,0,1,0,0,1,0,0,3,"1D9","16D9",27.0015997790103
1,1,"74",1,0,0,0,1,1,0,0,3,"1E10","1E10",22.9560922017195
6,2,"74",1,0,0,0,1,1,0,0,3,"1E10","6E10",21.1503585945759
11,3,"74",1,0,0,0,1,1,0,0,3,"1E10","11E10",24.421539731255
16,4,"74",1,0,0,0,1,1,0,0,3,"1E10","16E10",24.3355648727975
1,1,"74",0,1,1,1,0,0,0,0,3,"1E11","1E11",35.536521886672
6,2,"74",0,1,1,1,0,0,0,0,3,"1E11","6E11",35.6880785118195
11,3,"74",0,1,1,1,0,0,0,0,3,"1E11","11E11",28.3682265745189
16,4,"74",0,1,1,1,0,0,0,0,3,"1E11","16E11",29.5808603124237
1,1,"74",0,0,0,1,0,0,0,0,1,"1E2","1E2",34.2157565430775
6,2,"74",0,0,0,1,0,0,0,0,1,"1E2","6E2",33.6667229144227
11,3,"74",0,0,0,1,0,0,0,0,1,"1E2","11E2",33.9660077357791
16,4,"74",0,0,0,1,0,0,0,0,1,"1E2","16E2",33.7808972539481
1,1,"74",1,0,1,0,0,0,0,0,2,"1E3","1E3",32.6799092767882
6,2,"74",1,0,1,0,0,0,0,0,2,"1E3","6E3",24.7711142662512
11,3,"74",1,0,1,0,0,0,0,0,2,"1E3","11E3",27.461907800472
16,4,"74",1,0,1,0,0,0,0,0,2,"1E3","16E3",27.7617250195448
1,1,"74",0,1,1,0,0,0,0,0,2,"1E4","1E4",36.3121855858876
6,2,"74",0,1,1,0,0,0,0,0,2,"1E4","6E4",35.1594460143439
11,3,"74",0,1,1,0,0,0,0,0,2,"1E4","11E4",29.9426852293521
16,4,"74",0,1,1,0,0,0,0,0,2,"1E4","16E4",29.1589049545277
1,1,"74",0,0,1,1,0,0,0,0,2,"1E5","1E5",34.4352626604057
6,2,"74",0,0,1,1,0,0,0,0,2,"1E5","6E5",35.0920966839398
11,3,"74",0,0,1,1,0,0,0,0,2,"1E5","11E5",26.9544742007072
16,4,"74",0,0,1,1,0,0,0,0,2,"1E5","16E5",28.4277521893714
1,1,"74",0,0,0,1,0,1,0,0,2,"1E6","1E6",32.816876477635
6,2,"74",0,0,0,1,0,1,0,0,2,"1E6","6E6",34.8110756566108
11,3,"74",0,0,0,1,0,1,0,0,2,"1E6","11E6",30.6460167531765
16,4,"74",0,0,0,1,0,1,0,0,2,"1E6","16E6",34.5538390135935
1,1,"74",0,0,0,0,0,1,1,0,2,"1E7","1E7",24.8416004910669
6,2,"74",0,0,0,0,0,1,1,0,2,"1E7","6E7",21.0208124317201
11,3,"74",0,0,0,0,0,1,1,0,2,"1E7","11E7",29.6699118558007
16,4,"74",0,0,0,0,0,1,1,0,2,"1E7","16E7",28.722743576045
1,1,"74",1,1,0,0,0,1,0,0,3,"1E8","1E8",34.372991203135
6,2,"74",1,1,0,0,0,1,0,0,3,"1E8","6E8",32.9225493198848
11,3,"74",1,1,0,0,0,1,0,0,3,"1E8","11E8",28.9124550332399
16,4,"74",1,1,0,0,0,1,0,0,3,"1E8","16E8",34.9475526261686
1,1,"74",1,0,1,0,0,0,1,0,3,"1E9","1E9",28.7981461291359
6,2,"74",1,0,1,0,0,0,1,0,3,"1E9","6E9",24.6276045511
11,3,"74",1,0,1,0,0,0,1,0,3,"1E9","11E9",23.6826326573696
16,4,"74",1,0,1,0,0,0,1,0,3,"1E9","16E9",24.0072268912978
1,1,"74",1,0,0,0,1,0,1,0,3,"1F10","1F10",20.9054520983008
6,2,"74",1,0,0,0,1,0,1,0,3,"1F10","6F10",19.0024823907198
11,3,"74",1,0,0,0,1,0,1,0,3,"1F10","11F10",20.2213445307784
16,4,"74",1,0,0,0,1,0,1,0,3,"1F10","16F10",21.1273156332008
1,1,"74",0,1,1,0,1,0,0,0,3,"1F11","1F11",24.8951783412407
6,2,"74",0,1,1,0,1,0,0,0,3,"1F11","6F11",23.025788650398
11,3,"74",0,1,1,0,1,0,0,0,3,"1F11","11F11",25.2859284444976
16,4,"74",0,1,1,0,1,0,0,0,3,"1F11","16F11",26.5518717299848
1,1,"74",0,0,0,0,1,0,0,0,1,"1F2","1F2",25.2992872572907
6,2,"74",0,0,0,0,1,0,0,0,1,"1F2","6F2",20.2354654264505
11,3,"74",0,0,0,0,1,0,0,0,1,"1F2","11F2",24.7746744636674
16,4,"74",0,0,0,0,1,0,0,0,1,"1F2","16F2",25.7585926604332
1,1,"74",1,0,0,1,0,0,0,0,2,"1F3","1F3",32.3075281846962
6,2,"74",1,0,0,1,0,0,0,0,2,"1F3","6F3",33.2561672580502
11,3,"74",1,0,0,1,0,0,0,0,2,"1F3","11F3",33.2849234488643
16,4,"74",1,0,0,1,0,0,0,0,2,"1F3","16F3",34.4948443209254
1,1,"74",0,1,0,1,0,0,0,0,2,"1F4","1F4",34.5885143039338
6,2,"74",0,1,0,1,0,0,0,0,2,"1F4","6F4",34.2642770932494
11,3,"74",0,1,0,1,0,0,0,0,2,"1F4","11F4",36.0560501048062
16,4,"74",0,1,0,1,0,0,0,0,2,"1F4","16F4",36.2219315850483
1,1,"74",0,0,1,0,1,0,0,0,2,"1F5","1F5",23.6031589456459
6,2,"74",0,0,1,0,1,0,0,0,2,"1F5","6F5",20.6034466980476
11,3,"74",0,0,1,0,1,0,0,0,2,"1F5","11F5",24.9122385758015
16,4,"74",0,0,1,0,1,0,0,0,2,"1F5","16F5",25.2802246049958
1,1,"74",0,0,0,1,0,0,1,0,2,"1F6","1F6",30.6096739458413
6,2,"74",0,0,0,1,0,0,1,0,2,"1F6","6F6",27.6503262060351
11,3,"74",0,0,0,1,0,0,1,0,2,"1F6","11F6",27.1172581996147
16,4,"74",0,0,0,1,0,0,1,0,2,"1F6","16F6",26.8385528168746
1,1,"74",0,0,0,0,0,1,0,1,2,"1F7","1F7",27.2392552014572
6,2,"74",0,0,0,0,0,1,0,1,2,"1F7","6F7",24.6496989993502
11,3,"74",0,0,0,0,0,1,0,1,2,"1F7","11F7",27.4116142801518
16,4,"74",0,0,0,0,0,1,0,1,2,"1F7","16F7",27.9066232754522
1,1,"74",1,1,0,0,0,0,1,0,3,"1F8","1F8",30.1280655559312
6,2,"74",1,1,0,0,0,0,1,0,3,"1F8","6F8",26.9057779557067
11,3,"74",1,1,0,0,0,0,1,0,3,"1F8","11F8",27.2604886037166
16,4,"74",1,1,0,0,0,0,1,0,3,"1F8","16F8",27.6376767892481
1,1,"74",1,0,1,0,0,0,0,1,3,"1F9","1F9",26.2407308479183
6,2,"74",1,0,1,0,0,0,0,1,3,"1F9","6F9",27.3380110861171
