"Strain","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","r_min","r_max","r_mean","c_min","c_max","c_mean","i_min","mean_int","i_max","mean_response","Complexity","id","significant","null_model"
"100",0,0,0,0,0,0,0,0,43.7782294095084,49.6210236351498,46.7768492049913,43.7782294095084,49.6210236351498,46.7768492049913,1,1,1,1,0,"control",FALSE,2
"100",1,0,0,0,0,0,0,0,47.0698603731767,49.3730981606707,48.3573027401181,43.7782294095084,49.6210236351498,46.7768492049913,0.968050327838878,1.03462130423943,1.11098947176852,1.03378708831372,1,"1",FALSE,2
"100",0,1,0,0,0,0,0,0,46.9603839786357,49.3589946389494,47.8622548749979,43.7782294095084,49.6210236351498,46.7768492049913,0.961926467631129,1.02473829381556,1.109339191419,1.02320390724159,1,"2",FALSE,2
"100",0,0,1,0,0,0,0,0,46.5785960919499,48.6892567320833,47.5033159941337,43.7782294095084,49.6210236351498,46.7768492049913,0.953257634867639,1.01684894395942,1.09470988460409,1.01553047718026,1,"3",FALSE,2
"100",0,0,0,1,0,0,0,0,46.6217111251904,48.7347902762484,47.8188152491668,43.7782294095084,49.6210236351498,46.7768492049913,0.958833580157996,1.02318361490658,1.09846414455202,1.02227525072519,1,"4",FALSE,2
"100",0,0,0,0,1,0,0,0,44.1488032420595,48.105079039569,46.2787879408023,43.7782294095084,49.6210236351498,46.7768492049913,0.907645085371866,0.989991955464196,1.08220024654267,0.989352398191543,1,"5",FALSE,2
"100",0,0,0,0,0,1,0,0,46.8463901974217,48.4964205245265,47.9300821181095,43.7782294095084,49.6210236351498,46.7768492049913,0.962502853757337,1.02546190823561,1.09436439730691,1.02465392459557,1,"6",FALSE,2
"100",0,0,0,0,0,0,1,0,42.7451086375432,46.6200249809263,44.6842800717962,43.7782294095084,49.6210236351498,46.7768492049913,0.879106419734839,0.956552258953017,1.04778108214271,0.955264854970783,1,"7",FALSE,2
"100",0,0,0,0,0,0,0,1,41.8979998372833,47.5235808950704,45.4675764972302,43.7782294095084,49.6210236351498,46.7768492049913,0.858329588869744,0.971561591740321,1.0691185211219,0.972010241604273,1,"8",FALSE,2
"100",1,1,0,0,0,0,0,0,46.3919155378958,48.6057538503035,47.0641133656618,43.7782294095084,49.6210236351498,46.7768492049913,0.834875023434127,0.951782710191679,1.07671585328827,1.00614116097071,2,"12",FALSE,2
