"Strain","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","r_min","r_max","r_mean","c_min","c_max","c_mean","i_min","mean_int","i_max","mean_response","Complexity","id","significant","null","response"
"100",0,1,1,0,0,0,0,0,46.4824918675505,48.335977957732,46.9722315608842,43.7782294095084,49.6210236351498,46.7768492049913,0.850576318800011,0.968233664913148,1.09229197972219,1.00417690287425,2,"23",FALSE,1.04095727930696,"Additive"
"100",0,1,0,1,0,0,0,0,46.7227943290644,48.9028225084868,47.6118003291117,43.7782294095084,49.6210236351498,46.7768492049913,0.855015390100649,0.974266076719317,1.10066823044223,1.0178496657708,2,"24",FALSE,1.04850236774896,"Additive"
"100",0,1,0,0,1,0,0,0,45.7018243856594,47.9669813719612,46.9730983256407,43.7782294095084,49.6210236351498,46.7768492049913,0.859680031357386,0.994186740048313,1.14040222226376,1.00419543265493,2,"25",FALSE,1.01514397693,"Additive"
"100",0,1,0,0,0,1,0,0,46.8165553482136,49.9998691220093,48.0965676761656,43.7782294095084,49.6210236351498,46.7768492049913,0.864242076690689,0.981650857793982,1.11077822237202,1.02821306893482,2,"26",FALSE,1.05076093511421,"Additive"
"100",0,1,0,0,0,0,1,0,44.0787146877826,47.5692067913727,45.1024043562006,43.7782294095084,49.6210236351498,46.7768492049913,0.852530454206816,0.987234685405776,1.1420327664447,0.964203556305111,2,"27",FALSE,0.980502215593755,"Additive"
"100",0,1,0,0,0,0,0,1,42.8569864866528,46.8388139480631,45.4033238383991,43.7782294095084,49.6210236351498,46.7768492049913,0.821723277650875,0.980896895821102,1.17202677643001,0.970636642058276,2,"28",FALSE,0.996767725196596,"Additive"
"100",0,0,1,1,0,0,0,0,46.9724152247184,48.5725426249261,47.7991590523835,43.7782294095084,49.6210236351498,46.7768492049913,0.867486437351049,0.987218263865383,1.11512676365795,1.02185503865196,2,"34",FALSE,1.03997312169389,"Additive"
"100",0,0,1,0,1,0,0,0,44.0942514123323,47.4056465278779,45.7217253084664,43.7782294095084,49.6210236351498,46.7768492049913,0.837513860185786,0.974783901562188,1.12969924168005,0.977443459436505,2,"35",FALSE,1.00688609118088,"Additive"
"100",0,0,1,0,0,1,0,0,48.1820051043779,48.7719470135106,48.5507089666211,43.7782294095084,49.6210236351498,46.7768492049913,0.884527774994437,0.999006229715797,1.12039163423243,1.03792174530303,2,"36",FALSE,1.04221331630446,"Additive"
"100",0,0,1,0,0,0,1,0,43.84963540562,46.6669299906555,44.8467898870057,43.7782294095084,49.6210236351498,46.7768492049913,0.85643942997361,0.989712870061604,1.13688361798761,0.958739005495486,2,"37",FALSE,0.972526129977188,"Additive"
"100",0,0,1,0,0,0,0,1,44.9084517255362,47.1751979515412,46.3803684483192,43.7782294095084,49.6210236351498,46.7768492049913,0.860597549804163,1.00983225033745,1.2002949237703,0.991523996091858,2,"38",FALSE,0.988659324634559,"Additive"
"100",0,0,0,1,1,0,0,0,43.9609388263739,47.038432330411,45.9636635591833,43.7782294095084,49.6210236351498,46.7768492049913,0.835095371069236,0.973115420197872,1.12266912459758,0.982615638726662,2,"45",FALSE,1.01418422412063,"Additive"
"100",0,0,0,1,0,1,0,0,46.70634065583,48.2328128272073,47.530863885,43.7782294095084,49.6210236351498,46.7768492049913,0.858537122685579,0.970853111601996,1.0924016402594,1.01611939865176,2,"46",FALSE,1.04976750878024,"Additive"
"100",0,0,0,1,0,0,1,0,43.3441840777227,47.4979321663953,45.138382246012,43.7782294095084,49.6210236351498,46.7768492049913,0.857017629933161,0.988642651384425,1.14203422912599,0.964972695108237,2,"47",FALSE,0.979575214323592,"Additive"
"100",0,0,0,1,0,0,0,1,45.0271646923243,48.7191675631984,47.3719570355817,43.7782294095084,49.6210236351498,46.7768492049913,0.863217362000555,1.02504057814133,1.21834165380407,1.01272227267772,2,"48",FALSE,0.995825345941742,"Additive"
"100",0,0,0,0,1,1,0,0,44.5870547381199,47.201667362717,45.7929638468141,43.7782294095084,49.6210236351498,46.7768492049913,0.840671283506874,0.968687477796104,1.11161021998029,0.978966403789501,2,"56",FALSE,1.01636886715188,"Additive"
"100",0,0,0,0,1,0,1,0,41.4497572859624,43.5330468638948,42.8858064449281,43.7782294095084,49.6210236351498,46.7768492049913,0.833579360189832,0.971648068464236,1.12187330755244,0.916816912079491,2,"57",FALSE,0.948409759822879,"Additive"
"100",0,0,0,0,1,0,0,1,44.1579876782163,47.4983538902763,46.3805544839358,43.7782294095084,49.6210236351498,46.7768492049913,0.863711838471401,1.03504472832801,1.24432349120455,0.991527973179237,2,"58",FALSE,0.964142889040221,"Additive"
"100",0,0,0,0,0,1,1,0,43.13021257007,47.329433678512,45.6509346449096,43.7782294095084,49.6210236351498,46.7768492049913,0.856920969119191,0.997591781633336,1.14229695701488,0.975930089794043,2,"67",FALSE,0.981685306469242,"Additive"
"100",0,0,0,0,0,1,0,1,44.485941290644,47.9831757662987,46.6545214315054,43.7782294095084,49.6210236351498,46.7768492049913,0.849697545440934,1.00661351782085,1.19877750904336,0.997384865044033,2,"68",FALSE,0.997970442316359,"Additive"
"100",0,0,0,0,0,0,1,1,43.2100333428645,45.7975526233358,44.4588667543032,43.7782294095084,49.6210236351498,46.7768492049913,0.867244498667638,1.02635277444218,1.22617505864771,0.950445947299059,2,"78",FALSE,0.93124153847793,"Additive"
"100",1,1,1,0,0,0,0,0,47.252578693079,49.8465614728569,48.3018669331743,43.7782294095084,49.6210236351498,46.7768492049913,0.817318678035199,1.08497683524545,1.42012622322837,1.0326019762789,3,"123",FALSE,0.97047545750342,"Additive"
"100",1,1,0,1,0,0,0,0,46.4801438394745,49.1686587991049,47.4835698121342,43.7782294095084,49.6210236351498,46.7768492049913,0.799891654889072,1.05183727676574,1.36262886309614,1.01510834139439,3,"124",FALSE,0.985147074212165,"Additive"
"100",1,1,0,0,1,0,0,0,43.0710526491837,47.0963551190972,45.1605773555814,43.7782294095084,49.6210236351498,46.7768492049913,0.735894081553268,1.00812421362311,1.34005042261224,0.965447184304209,3,"125",FALSE,0.978797349318559,"Additive"
"100",1,1,0,0,0,1,0,0,47.0827672373932,48.6093401211718,47.6215079734539,43.7782294095084,49.6210236351498,46.7768492049913,0.790110537935444,1.04623964537387,1.35836006184825,1.01805719672911,3,"126",FALSE,0.992013982342995,"Additive"
"100",1,1,0,0,0,0,1,0,43.830992720029,47.8328857313805,45.4941124290043,43.7782294095084,49.6210236351498,46.7768492049913,0.798676835110456,1.08564086792592,1.44011256333926,0.972577529316572,3,"127",FALSE,0.916618685540643,"Additive"
"100",1,1,0,0,0,0,0,1,44.5544497415128,49.5559331652876,47.5263998586327,43.7782294095084,49.6210236351498,46.7768492049913,0.781080923194551,1.11881893870673,1.55328845430256,1.01602396626495,3,"128",FALSE,0.934609744596573,"Additive"
"100",1,0,1,1,0,0,0,0,46.3572833631166,48.8041353900187,47.6713479915515,43.7782294095084,49.6210236351498,46.7768492049913,0.776376672504075,1.02159457868557,1.31434522059359,1.01912268144954,3,"134",FALSE,1.01496177871064,"Additive"
"100",1,0,1,0,1,0,0,0,44.4086345775599,46.6532644344929,45.4630213989217,43.7782294095084,49.6210236351498,46.7768492049913,0.750786375256785,1.01935483842888,1.36506579003438,0.971912862272702,3,"135",FALSE,0.975767125147036,"Additive"
"100",1,0,1,0,0,1,0,0,47.1746951270942,48.2358854129328,47.5629975343096,43.7782294095084,49.6210236351498,46.7768492049913,0.772138048322321,1.00647458283789,1.29122149979523,1.01680635491016,3,"136",FALSE,1.02645982324834,"Additive"
"100",1,0,1,0,0,0,1,0,42.6556860095693,46.6281786857462,44.9283505186996,43.7782294095084,49.6210236351498,46.7768492049913,0.775349006654711,1.04832987218403,1.38033748314006,0.960482616556943,3,"137",FALSE,0.93430900423913,"Additive"
"100",1,0,1,0,0,0,0,1,44.0821224067259,47.4557857078851,46.330637656826,43.7782294095084,49.6210236351498,46.7768492049913,0.731203160480562,1.03874219251593,1.42782216619582,0.990460846428329,3,"138",FALSE,0.978293564767809,"Additive"
"100",1,0,0,1,1,0,0,0,44.6622891678177,48.2529032581492,46.4501438305472,43.7782294095084,49.6210236351498,46.7768492049913,0.756993996779825,1.03447747680667,1.37551617472424,0.993015660952016,3,"145",FALSE,0.982700780675348,"Additive"
"100",1,0,0,1,0,1,0,0,48.0021839359589,50.3652850050881,49.0810212840252,43.7782294095084,49.6210236351498,46.7768492049913,0.805267506641804,1.05936981678761,1.36648685054499,1.04925881324191,3,"146",FALSE,1.00634385354643,"Additive"
"100",1,0,0,1,0,0,1,0,43.5336364593193,47.4569875783262,45.3866928005854,43.7782294095084,49.6210236351498,46.7768492049913,0.775459097779082,1.0541418655597,1.40229563920108,0.970281102125673,3,"147",FALSE,0.941542160727426,"Additive"
"100",1,0,0,1,0,0,0,1,44.0871916186105,47.7110309619562,46.4318522214546,43.7782294095084,49.6210236351498,46.7768492049913,0.714704607226448,1.020982529502,1.39352828528198,0.992624621166236,3,"148",FALSE,1.00179793275091,"Additive"
"100",1,0,0,0,1,1,0,0,43.4434874876385,47.5053753448361,45.3392464209235,43.7782294095084,49.6210236351498,46.7768492049913,0.743025245823162,1.01301516503146,1.34085351032362,0.969266788838903,3,"156",FALSE,0.977637573432311,"Additive"
"100",1,0,0,0,1,0,1,0,41.5432765886864,44.1758258288546,43.3154590819714,43.7782294095084,49.6210236351498,46.7768492049913,0.762095019000189,1.05379607122615,1.42438748529027,0.926002067649939,3,"157",FALSE,0.900970866729128,"Additive"
"100",1,0,0,0,1,0,0,1,47.6863613515778,48.5798153557151,48.1330883536464,43.7782294095084,49.6210236351498,46.7768492049913,0.751347233352797,1.07923305551446,1.50812019817901,1.02899381150517,3,"158",FALSE,0.984916738038706,"Additive"
"100",1,0,0,0,0,1,1,0,44.3531023195726,48.5825796040942,46.2523902980719,43.7782294095084,49.6210236351498,46.7768492049913,0.787227971500486,1.06219928224848,1.40485423353827,0.988788066835775,3,"167",FALSE,0.949490325731261,"Additive"
"100",1,0,0,0,0,1,0,1,45.4724523437791,48.7104881955131,47.4012551859319,43.7782294095084,49.6210236351498,46.7768492049913,0.751947897934919,1.06041684589078,1.45121914052343,1.01334861136551,3,"168",FALSE,0.983193692049118,"Additive"
"100",1,0,0,0,0,0,1,1,43.3137075299921,45.6806566076951,44.5611176764088,43.7782294095084,49.6210236351498,46.7768492049913,0.742071155830654,1.06535556628433,1.47295671050458,0.9526318773872,3,"178",FALSE,0.921044351788612,"Additive"
"100",0,1,1,1,0,0,0,0,47.671455495666,49.9569842705232,48.7944403140935,43.7782294095084,49.6210236351498,46.7768492049913,0.81204734943825,1.06934449886696,1.37588301749461,1.0431322575888,3,"234",FALSE,0.992163302505298,"Additive"
"100",0,1,1,0,1,0,0,0,46.0291404651468,48.6977034817378,47.4304696313338,43.7782294095084,49.6210236351498,46.7768492049913,0.789109369732316,1.07089833278892,1.42658733906095,1.01397316060084,3,"235",FALSE,0.967892085500167,"Additive"
"100",0,1,1,0,0,1,0,0,48.4517947149294,51.1450461230683,49.6366163346539,43.7782294095084,49.6210236351498,46.7768492049913,0.811864154745666,1.06234016973196,1.36634089897955,1.06113637789348,3,"236",FALSE,1.01379967332096,"Additive"
"100",0,1,1,0,0,0,1,0,43.801814543827,47.2114410036942,45.5140911376612,43.7782294095084,49.6210236351498,46.7768492049913,0.779124222156673,1.05262845346252,1.38926916956502,0.973004636079778,3,"237",FALSE,0.94254302584226,"Additive"
"100",0,1,1,0,0,0,0,1,45.7934915881503,47.8226751488522,46.7717291688762,43.7782294095084,49.6210236351498,46.7768492049913,0.745197053299858,1.05534412586199,1.43541819591874,0.999890543373439,3,"238",FALSE,0.971380868126668,"Additive"
"100",0,1,0,1,1,0,0,0,45.3132106641104,47.7642507970334,46.4795182664954,43.7782294095084,49.6210236351498,46.7768492049913,0.765615334416876,1.03761900188643,1.36430759979488,0.993643630480691,3,"245",FALSE,0.979302484189434,"Additive"
"100",0,1,0,1,0,1,0,0,47.5223083096687,49.7855101116996,48.6335918652995,43.7782294095084,49.6210236351498,46.7768492049913,0.810824809291805,1.06131732999374,1.36479757116171,1.03969362391578,3,"246",FALSE,0.99855361585065,"Additive"
"100",0,1,0,1,0,0,1,0,43.3855518035049,46.8732973602105,45.5159493981503,43.7782294095084,49.6210236351498,46.7768492049913,0.767321087258549,1.04247531459699,1.38286495962054,0.973044362151984,3,"247",FALSE,0.954256705418812,"Additive"
"100",0,1,0,1,0,0,0,1,45.704491768126,49.7260525701086,47.8294767628433,43.7782294095084,49.6210236351498,46.7768492049913,0.739864342617469,1.05476492121537,1.45593712236962,1.02250317359425,3,"248",FALSE,0.999344619510204,"Additive"
"100",0,1,0,0,1,1,0,0,44.2210758132681,47.3684473555934,46.2796951953217,43.7782294095084,49.6210236351498,46.7768492049913,0.761902975734897,1.02468810004656,1.35069788227126,0.989371793566281,3,"256",FALSE,0.984351391481563,"Additive"
"100",0,1,0,0,1,0,1,0,41.8032925730439,44.188407913001,42.84114933513,43.7782294095084,49.6210236351498,46.7768492049913,0.733585159149048,1.01146963155368,1.35610022631757,0.915862228073255,3,"257",FALSE,0.9265811942534,"Additive"
"100",0,1,0,0,1,0,0,1,47.7299852717439,47.7399886918428,47.7349869817933,43.7782294095084,49.6210236351498,46.7768492049913,0.736388954755424,1.05658000971606,1.47540309092292,1.02048316192917,3,"258",FALSE,0.996969679283543,"Additive"
"100",0,1,0,0,0,1,1,0,43.9296443442051,47.3605476973174,45.6762426049151,43.7782294095084,49.6210236351498,46.7768492049913,0.762832283209501,1.02397161243289,1.35917183925871,0.976471125807278,3,"267",FALSE,0.972283045569753,"Additive"
"100",0,1,0,0,0,1,0,1,44.1506489215685,47.6246822303403,46.3977839622956,43.7782294095084,49.6210236351498,46.7768492049913,0.728346002092278,1.03168038329237,1.41930263760479,0.99189630663163,3,"268",FALSE,0.990948195054281,"Additive"
"100",0,1,0,0,0,0,1,1,43.0650337986903,46.104018189736,44.8129079613212,43.7782294095084,49.6210236351498,46.7768492049913,0.729413677884982,1.0429327766009,1.44305392395269,0.958014674415895,3,"278",FALSE,0.948184538774937,"Additive"
"100",0,0,1,1,1,0,0,0,44.5412179548049,47.1246208063107,46.4320604037079,43.7782294095084,49.6210236351498,46.7768492049913,0.770536435465626,1.05339007411469,1.39876880118414,0.992629071706551,3,"345",FALSE,0.965040495603656,"Additive"
"100",0,0,1,1,0,1,0,0,47.0749031245743,48.8035396163041,47.6308006993509,43.7782294095084,49.6210236351498,46.7768492049913,0.779103828768546,1.01236935347734,1.29977928787064,1.01825585752083,3,"346",FALSE,1.02134116052661,"Additive"
"100",0,0,1,1,0,0,1,0,42.2593346502344,45.6636886584472,44.4715639724251,43.7782294095084,49.6210236351498,46.7768492049913,0.745131904574565,1.01139284908546,1.34294661842289,0.950717389654362,3,"347",FALSE,0.961484600036991,"Additive"
"100",0,0,1,1,0,0,0,1,44.6671601533067,47.924951058339,46.3898151053248,43.7782294095084,49.6210236351498,46.7768492049913,0.694551525410363,0.988618155317625,1.35870650806369,0.991725947637677,3,"348",FALSE,1.03402122776144,"Additive"
"100",0,0,1,0,1,1,0,0,45.1416891125805,47.596953018706,46.2365415228205,43.7782294095084,49.6210236351498,46.7768492049913,0.769841946994518,1.03683134424168,1.36634090473113,0.988449250187779,3,"356",FALSE,0.974214046079826,"Additive"
"100",0,0,1,0,1,0,1,0,43.4417613347066,45.7696753219194,44.565063476259,43.7782294095084,49.6210236351498,46.7768492049913,0.78746344008645,1.07754094180122,1.45772894976027,0.952716231077482,3,"357",FALSE,0.90336939940929,"Additive"
"100",0,0,1,0,1,0,0,1,46.5771973963244,48.2710673419681,47.6647733949864,43.7782294095084,49.6210236351498,46.7768492049913,0.735785609548338,1.05480793122384,1.47086626647464,1.0189821290892,3,"358",FALSE,0.998161714067375,"Additive"
"100",0,0,1,0,0,1,1,0,42.7983517158672,46.0141048235967,44.7847785258514,43.7782294095084,49.6210236351498,46.7768492049913,0.739850810212916,0.9933561149481,1.30393397872585,0.957413320627689,3,"367",FALSE,0.983887335926237,"Additive"
"100",0,0,1,0,0,1,0,1,44.4690612994273,47.6187178398122,46.5187559001881,43.7782294095084,49.6210236351498,46.7768492049913,0.704985330919079,0.991074963013481,1.36067301621419,0.994482456403334,3,"368",FALSE,1.02977103663435,"Additive"
"100",0,0,1,0,0,0,1,1,41.7523646208807,45.0155262772321,43.0870659266611,43.7782294095084,49.6210236351498,46.7768492049913,0.684984206048534,0.976773169258747,1.35355473350064,0.921119456717566,3,"378",FALSE,0.970644632788361,"Additive"
"100",0,0,0,1,1,1,0,0,44.6603734166737,47.2970703723337,46.2087605300752,43.7782294095084,49.6210236351498,46.7768492049913,0.788660607798299,1.06139655428136,1.40685553279513,0.987855345441789,3,"456",FALSE,0.951989662772567,"Additive"
"100",0,0,0,1,1,0,1,0,43.0366064014996,45.3178990606283,44.2662767003729,43.7782294095084,49.6210236351498,46.7768492049913,0.781653626880661,1.07055497708639,1.43412413351004,0.946328738525842,3,"457",FALSE,0.907377519575282,"Additive"
"100",0,0,0,1,1,0,0,1,46.4843223371197,48.6000933688734,47.6674492431151,43.7782294095084,49.6210236351498,46.7768492049913,0.72443727129298,1.03330352595825,1.44629039262352,1.01903933362893,3,"458",FALSE,1.01879134050072,"Additive"
"100",0,0,0,1,0,1,1,0,42.5037172292533,46.817093537514,45.2663848602193,43.7782294095084,49.6210236351498,46.7768492049913,0.760581938933771,1.02578065275831,1.3574317647833,0.967709147357217,3,"467",FALSE,0.962049315273556,"Additive"
