"Strain","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","r_min","r_max","r_mean","c_min","c_max","c_mean","i_min","mean_int","i_max","mean_response","Complexity","id","significant","null_model"
"100",0,0,0,0,0,0,0,0,43.7782294095084,49.6210236351498,46.7768492049913,43.7782294095084,49.6210236351498,46.7768492049913,1,1,1,1,0,"control",FALSE,6
"100",1,0,0,0,0,0,0,0,47.0698603731767,49.3730981606707,48.3573027401181,43.7782294095084,49.6210236351498,46.7768492049913,0.967698426673384,1.03571472229563,1.11320839227157,1.03378708831372,1,"1",FALSE,6
"100",0,1,0,0,0,0,0,0,46.9603839786357,49.3589946389494,47.8622548749979,43.7782294095084,49.6210236351498,46.7768492049913,0.961588410599746,1.02389709799445,1.10886895683777,1.02320390724159,1,"2",FALSE,6
"100",0,0,1,0,0,0,0,0,46.5785960919499,48.6892567320833,47.5033159941337,43.7782294095084,49.6210236351498,46.7768492049913,0.953023722739656,1.01683795300807,1.09475837432334,1.01553047718026,1,"3",FALSE,6
"100",0,0,0,1,0,0,0,0,46.6217111251904,48.7347902762484,47.8188152491668,43.7782294095084,49.6210236351498,46.7768492049913,0.957207615519305,1.02368080547957,1.09770426503638,1.02227525072519,1,"4",FALSE,6
"100",0,0,0,0,1,0,0,0,44.1488032420595,48.105079039569,46.2787879408023,43.7782294095084,49.6210236351498,46.7768492049913,0.907645085371866,0.989881080947181,1.08280125861492,0.989352398191543,1,"5",FALSE,6
"100",0,0,0,0,0,1,0,0,46.8463901974217,48.4964205245265,47.9300821181095,43.7782294095084,49.6210236351498,46.7768492049913,0.963104154759848,1.02584241857382,1.09460473282922,1.02465392459557,1,"6",FALSE,6
"100",0,0,0,0,0,0,1,0,42.7451086375432,46.6200249809263,44.6842800717962,43.7782294095084,49.6210236351498,46.7768492049913,0.879106419734839,0.956394849348735,1.04780694943204,0.955264854970783,1,"7",FALSE,6
"100",0,0,0,0,0,0,0,1,41.8979998372833,47.5235808950704,45.4675764972302,43.7782294095084,49.6210236351498,46.7768492049913,0.860223349837642,0.972334833573323,1.0691185211219,0.972010241604273,1,"8",FALSE,6
"100",1,1,0,0,0,0,0,0,46.3919155378958,48.6057538503035,47.0641133656618,43.7782294095084,49.6210236351498,46.7768492049913,0.838669743016169,0.952908977977908,1.07907419913809,1.00614116097071,2,"12",FALSE,6
"100",1,0,1,0,0,0,0,0,46.997897375234,48.868679821783,47.8136281441487,43.7782294095084,49.6210236351498,46.7768492049913,0.857411286213185,0.975258761422203,1.1028650033434,1.02216436029314,2,"13",FALSE,6
"100",1,0,0,1,0,0,0,0,47.486702480248,49.2443125941126,48.3026010661921,43.7782294095084,49.6210236351498,46.7768492049913,0.859923254199023,0.97750288937005,1.1041840865608,1.03261767064546,2,"14",FALSE,6
"100",1,0,0,0,1,0,0,0,44.3543860148559,48.5508872889105,47.0005694251739,43.7782294095084,49.6210236351498,46.7768492049913,0.841331171663623,0.986450302585483,1.14284435354598,1.0047827124739,2,"15",FALSE,6
