"Strain","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","r_min","r_max","r_mean","c_min","c_max","c_mean","i_min","mean_int","i_max","mean_response","Complexity","id","significant","null","response"
"100",0,0,0,0,0,0,0,0,43.7782294095084,49.6210236351498,46.7768492049913,43.7782294095084,49.6210236351498,46.7768492049913,1,1,1,1,0,"control",FALSE,1,"None"
"100",1,0,0,0,0,0,0,0,47.0698603731767,49.3730981606707,48.3573027401181,43.7782294095084,49.6210236351498,46.7768492049913,0.968050327838878,1.03533703146775,1.11098947176852,1.03378708831372,1,"1",FALSE,1,"None"
"100",0,1,0,0,0,0,0,0,46.9603839786357,49.3589946389494,47.8622548749979,43.7782294095084,49.6210236351498,46.7768492049913,0.962959776304715,1.02472764013318,1.10936657843555,1.02320390724159,1,"2",FALSE,1,"None"
"100",0,0,1,0,0,0,0,0,46.5785960919499,48.6892567320833,47.5033159941337,43.7782294095084,49.6210236351498,46.7768492049913,0.95377069753949,1.01756884161268,1.09476689056852,1.01553047718026,1,"3",FALSE,1,"None"
"100",0,0,0,1,0,0,0,0,46.6217111251904,48.7347902762484,47.8188152491668,43.7782294095084,49.6210236351498,46.7768492049913,0.957886612307552,1.02394924893349,1.09846414455202,1.02227525072519,1,"4",FALSE,1,"None"
"100",0,0,0,0,1,0,0,0,44.1488032420595,48.105079039569,46.2787879408023,43.7782294095084,49.6210236351498,46.7768492049913,0.907975148286709,0.99074992344131,1.08412011043738,0.989352398191543,1,"5",FALSE,1,"None"
"100",0,0,0,0,0,1,0,0,46.8463901974217,48.4964205245265,47.9300821181095,43.7782294095084,49.6210236351498,46.7768492049913,0.963657228293127,1.02592143357657,1.09558702442781,1.02465392459557,1,"6",FALSE,1,"None"
"100",0,0,0,0,0,0,1,0,42.7451086375432,46.6200249809263,44.6842800717962,43.7782294095084,49.6210236351498,46.7768492049913,0.87878685104631,0.956313115459749,1.04678545907972,0.955264854970783,1,"7",FALSE,1,"None"
"100",0,0,0,0,0,0,0,1,41.8979998372833,47.5235808950704,45.4675764972302,43.7782294095084,49.6210236351498,46.7768492049913,0.859830768648783,0.973201796028682,1.07241772723011,0.972010241604273,1,"8",FALSE,1,"None"
"100",1,1,0,0,0,0,0,0,46.3919155378958,48.6057538503035,47.0641133656618,43.7782294095084,49.6210236351498,46.7768492049913,0.837356440639294,0.952817267671379,1.07756825061331,1.00614116097071,2,"12",FALSE,1.06093847299844,"Additive"
"100",1,0,1,0,0,0,0,0,46.997897375234,48.868679821783,47.8136281441487,43.7782294095084,49.6210236351498,46.7768492049913,0.854952979966249,0.975089305862581,1.10078706166661,1.02216436029314,2,"13",FALSE,1.05352670378934,"Additive"
"100",1,0,0,1,0,0,0,0,47.486702480248,49.2443125941126,48.3026010661921,43.7782294095084,49.6210236351498,46.7768492049913,0.862919800877675,0.978146595405429,1.10800592123997,1.03261767064546,2,"14",FALSE,1.06013257576442,"Additive"
"100",1,0,0,0,1,0,0,0,44.3543860148559,48.5508872889105,47.0005694251739,43.7782294095084,49.6210236351498,46.7768492049913,0.833890288169456,0.984181022452691,1.13748317041232,1.0047827124739,2,"15",FALSE,1.02576008466262,"Additive"
"100",1,0,0,0,0,1,0,0,47.2266107616077,50.1674217797847,48.3176049096195,43.7782294095084,49.6210236351498,46.7768492049913,0.860027768889048,0.975567865225693,1.10643233352391,1.03293842425932,2,"16",FALSE,1.0621744515583,"Additive"
"100",1,0,0,0,0,0,1,0,42.5170589877586,46.4146149346933,44.3135272442084,43.7782294095084,49.6210236351498,46.7768492049913,0.830114082937722,0.960899627094511,1.10377210369278,0.947338865215401,2,"17",FALSE,0.990106382113768,"Additive"
"100",1,0,0,0,0,0,0,1,43.5623340422467,47.2959404071903,45.4032201306024,43.7782294095084,49.6210236351498,46.7768492049913,0.818553445551513,0.97015365884553,1.15580235365606,0.970634424982982,2,"18",FALSE,1.00759185851941,"Additive"
"100",0,1,1,0,0,0,0,0,46.4824918675505,48.335977957732,46.9722315608842,43.7782294095084,49.6210236351498,46.7768492049913,0.848648784458569,0.966995124071953,1.09570014801388,1.00417690287425,2,"23",FALSE,1.04273091773881,"Additive"
"100",0,1,0,1,0,0,0,0,46.7227943290644,48.9028225084868,47.6118003291117,43.7782294095084,49.6210236351498,46.7768492049913,0.854405472597746,0.973610359505906,1.09900135608292,1.0178496657708,2,"24",FALSE,1.04926909747576,"Additive"
"100",0,1,0,0,1,0,0,0,45.7018243856594,47.9669813719612,46.9730983256407,43.7782294095084,49.6210236351498,46.7768492049913,0.859552266831821,0.993598710802532,1.14115650213428,1.00419543265493,2,"25",FALSE,1.01524883101015,"Additive"
"100",0,1,0,0,0,1,0,0,46.8165553482136,49.9998691220093,48.0965676761656,43.7782294095084,49.6210236351498,46.7768492049913,0.861411599383761,0.980956633533147,1.11034379162363,1.02821306893482,2,"26",FALSE,1.05129004959097,"Additive"
"100",0,1,0,0,0,0,1,0,44.0787146877826,47.5692067913727,45.1024043562006,43.7782294095084,49.6210236351498,46.7768492049913,0.854690347823562,0.988186886692066,1.1419727428906,0.964203556305111,2,"27",FALSE,0.979960482033481,"Additive"
"100",0,1,0,0,0,0,0,1,42.8569864866528,46.8388139480631,45.4033238383991,43.7782294095084,49.6210236351498,46.7768492049913,0.819246803062916,0.978830799431541,1.16709539432454,0.970636642058276,2,"28",FALSE,0.997266779817847,"Additive"
